index,Year sold,Month sold,Street,Kind,Number of rooms,Floor,Squared meter,Price
0,2021,12,נירים,דירה בבית קומות,6.0,6.0,134.6,3670000
1,2021,12,קרל נטר,דירה בבית קומות,3.0,3.0,81.0,1770000
2,2021,12,יהודה הלוי,דירה בבית קומות,5.0,5.0,120.0,2400000
3,2021,12,שרירא שמואל,דירה בבית קומות,4.0,2.0,64.32,2050000
4,2021,12,"תרמ""ב",דירה בבית קומות,3.0,3.0,80.98,1640000
5,2021,12,"רש""י",דירה בבית קומות,4.0,2.0,86.44,1710000
6,2021,12,הצופים,דירה בבית קומות,4.0,8.0,105.01,2125000
7,2021,12,כצנלסון,דירה בבית קומות,5.0,6.0,119.0,2650000
8,2021,12,סולד,דירה בבית קומות,4.0,1.0,91.5,2060000
9,2021,12,טיומקין,דירה בבית קומות,3.0,4.0,65.0,2100000
10,2021,12,דרור,דירה בבית קומות,3.0,4.0,60.5,1470000
11,2021,11,פופל מרדכי,דירה בבית קומות,4.0,7.0,97.2,1898000
12,2021,11,אנילביץ,דירה בבית קומות,3.0,2.0,35.0,1200000
13,2021,11,יהודה לייב,דירה בבית קומות,3.0,4.0,52.73,1700000
14,2021,11,שרירא שמואל,דירה בבית קומות,5.0,1.0,113.0,2150000
15,2021,11,הכורמים,דירה בבית קומות,5.0,5.0,117.0,2420000
16,2021,11,שרירא שמואל,דירה בבית קומות,3.0,1.0,63.12,2240000
17,2021,11,שרירא שמואל,דירה בבית קומות,3.0,2.0,63.12,1760000
18,2021,11,שרירא שמואל,דירה בבית קומות,3.0,3.0,63.12,2050000
19,2021,11,הרב סובהי,דירה בבית קומות,3.0,4.0,76.31,1405000
20,2021,11,בית הערבה,דירה בבית קומות,4.0,1.0,80.0,2040000
21,2021,11,"עגנון ש""י",דירה בבית קומות,3.0,2.0,42.0,2400000
22,2021,11,רוטשילד,דירה בבית קומות,4.0,2.0,95.81,1440000
23,2021,11,הורוביץ,דירה בבית קומות,4.0,3.0,84.01,1940000
24,2021,11,הרב ברוק,דירה בבית קומות,2.0,1.0,54.0,1345000
25,2021,11,קרן היסוד,דירה בבית קומות,3.0,2.0,60.34,1800000
26,2021,11,"רמב""ם",דירה בבית קומות,4.0,7.0,110.0,2370000
27,2021,11,פיין בנימין,דירה בבית קומות,3.0,1.0,60.26,1525000
28,2021,11,אייזנבנד,דירה בבית קומות,3.0,6.0,77.78,1610000
29,2021,11,הסמדר,דירה בבית קומות,4.0,2.0,110.3,2350000
30,2021,11,החלמונית,דירה בבית קומות,4.0,4.0,94.5,1700000
31,2021,11,הפסנתר,דירה בבית קומות,3.0,1.0,63.85,2055000
32,2021,11,נהריים,דירה בבית קומות,3.0,1.0,72.28,1800000
33,2021,11,הירקון,דירה בבית קומות,3.0,7.0,63.2,1625000
34,2021,11,התזמורת,דירה בבית קומות,4.0,6.0,82.0,2460000
35,2021,11,נהריים,דירה בבית קומות,2.0,2.0,40.79,1500000
36,2021,11,נהריים,דירה בבית קומות,2.0,1.0,40.79,1562000
37,2021,11,חנקין,דירה בבית קומות,3.0,3.0,47.41,1350000
38,2021,11,שניאור זלמן,דירה בבית קומות,3.0,3.0,47.4,1345000
39,2021,11,אחיעזר,דירה בבית קומות,3.0,2.0,83.94,760000
40,2021,11,רופין,דירה בבית קומות,4.0,2.0,85.35,1475000
41,2021,11,שרירא שמואל,דירה בבית קומות,3.0,1.0,63.12,1700000
42,2021,11,דוידזון,דירה בבית קומות,4.0,2.0,104.4,1800000
43,2021,11,בשארי סעדיה ויוסף,דירה בבית קומות,4.0,2.0,103.02,2700000
44,2021,11,סוקולוב,דירה בבית קומות,3.0,4.0,71.83,1680000
45,2021,11,תל חי,דירה בבית קומות,3.0,3.0,68.24,1785000
46,2021,11,חנקין,דירה בבית קומות,3.0,4.0,77.0,2040000
47,2021,11,שדה נחום,דירה בבית קומות,3.0,2.0,68.0,1800000
48,2021,11,שרירא שמואל,דירה בבית קומות,3.0,2.0,63.12,1810000
49,2021,11,שרירא שמואל,דירה בבית קומות,3.0,1.0,63.12,1770000
50,2021,11,שרירא שמואל,דירה בבית קומות,3.0,5.0,96.0,1870000
51,2021,11,הקוקיה,דירה בבית קומות,5.0,5.0,125.2,1235000
52,2021,11,קפלנסקי,דירה בבית קומות,3.0,1.0,67.5,2455000
53,2021,11,שניאור זלמן,דירה בבית קומות,4.0,3.0,76.35,1500000
54,2021,11,צלליכין,דירה בבית קומות,4.0,0.0,90.0,2330000
55,2021,11,הירשפלד,דירה בבית קומות,4.0,1.0,72.0,1950000
56,2021,11,האחים זיגר,דירה בבית קומות,3.0,1.0,50.64,1390000
57,2021,11,"ריב""ל",דירה בבית קומות,3.0,1.0,72.7,1900000
58,2021,11,ירושלים,דירה בבית קומות,4.0,4.0,71.0,1515000
59,2021,11,תנועות הנוער,דירה בבית קומות,4.0,6.0,82.15,2090000
60,2021,11,הגלים,דירה בבית קומות,4.0,2.0,92.31,2100000
61,2021,11,ההדרים,דירה בבית קומות,5.0,4.0,117.7,2800000
62,2021,11,מעגל השלום,דירה בבית קומות,4.0,5.0,89.0,2550000
63,2021,11,מבצע נחשון,דירה בבית קומות,4.0,1.0,88.3,2215000
64,2021,11,הצופים,דירה בבית קומות,4.0,8.0,80.8,2125000
65,2021,11,בית לחם,דירה בבית קומות,3.0,1.0,65.0,1700000
66,2021,11,השריג,דירה בבית קומות,5.0,5.0,113.0,2500000
67,2021,11,משה בן נחמן,דירה בבית קומות,4.0,1.0,105.0,2080000
68,2021,11,האחים סולימן,דירה בבית קומות,3.0,1.0,77.73,1760000
69,2021,11,ז'בוטינסקי,דירה בבית קומות,3.0,2.0,64.87,1400000
70,2021,11,דן,דירה בבית קומות,4.0,1.0,91.46,2200000
71,2021,11,שרירא שמואל,דירה בבית קומות,4.0,1.0,82.15,1650000
72,2021,11,חיל הרגלים,דירה בבית קומות,3.0,4.0,68.09,1590000
73,2021,11,קאפח,דירה בבית קומות,3.0,5.0,71.0,2020000
74,2021,11,רוטשילד,דירה בבית קומות,3.0,2.0,73.55,1600000
75,2021,11,רוטשילד,דירה בבית קומות,4.0,6.0,83.0,1750000
76,2021,11,הקוקיה,דירה בבית קומות,3.0,1.0,65.6,1720000
77,2021,11,אוסישקין,דירה בבית קומות,3.0,2.0,55.51,1540000
78,2021,11,דרובין יואל,דירה בבית קומות,4.0,3.0,85.43,1830000
79,2021,11,אברבנאל,דירה בבית קומות,4.0,1.0,85.8,1870000
80,2021,11,חיל הצנחנים,דירה בבית קומות,4.0,1.0,83.3,1865000
81,2021,11,שיבת ציון,דירה בבית קומות,4.0,3.0,74.32,1500000
82,2021,11,שינקין,דירה בבית קומות,3.0,1.0,79.03,1650000
83,2021,11,תנחום,דירה בבית קומות,5.0,5.0,120.95,2650000
84,2021,11,הרצל,דירה בבית קומות,2.0,11.0,37.26,1420000
85,2021,11,עולי הגרדום,דירה בבית קומות,3.0,2.0,72.98,1620000
86,2021,11,טיומקין,דירה בבית קומות,4.0,3.0,89.87,1825000
87,2021,11,פינס,דירה בבית קומות,3.0,4.0,70.08,1560000
88,2021,11,הצופים,דירה בבית קומות,4.0,3.0,93.4,2170000
