index,Year sold,Month sold,Day sold,Street,Street number,Kind,Number of rooms,Floor,Squared meter,Price
0,2021,12,20,נירים,3,דירה בבית קומות,6.0,6.0,134.6,3670000
1,2021,12,19,קרל נטר,6,דירה בבית קומות,3.0,3.0,81.0,1770000
2,2021,12,16,יהודה הלוי,27,דירה בבית קומות,5.0,5.0,120.0,2400000
3,2021,12,15,שרירא שמואל,17,דירה בבית קומות,4.0,2.0,64.32,2050000
4,2021,12,15,"תרמ""ב",30,דירה בבית קומות,3.0,3.0,80.98,1640000
5,2021,12,14,"רש""י",14,דירה בבית קומות,4.0,2.0,86.44,1710000
6,2021,12,13,הצופים,6,דירה בבית קומות,4.0,8.0,105.01,2125000
7,2021,12,8,כצנלסון,29,דירה בבית קומות,5.0,6.0,119.0,2650000
8,2021,12,7,סולד,10,דירה בבית קומות,4.0,1.0,91.5,2060000
9,2021,12,2,טיומקין,6,דירה בבית קומות,3.0,4.0,65.0,2100000
10,2021,12,2,דרור,20,דירה בבית קומות,3.0,4.0,60.5,1470000
11,2021,11,30,פופל מרדכי,12,דירה בבית קומות,4.0,7.0,97.2,1898000
12,2021,11,30,אנילביץ,23,דירה בבית קומות,3.0,2.0,35.0,1200000
13,2021,11,29,יהודה לייב,50,דירה בבית קומות,3.0,4.0,52.73,1700000
14,2021,11,28,שרירא שמואל,17,דירה בבית קומות,5.0,1.0,113.0,2150000
15,2021,11,28,הכורמים,11,דירה בבית קומות,5.0,5.0,117.0,2420000
16,2021,11,27,שרירא שמואל,8,דירה בבית קומות,3.0,1.0,63.12,2240000
17,2021,11,27,שרירא שמואל,8,דירה בבית קומות,3.0,2.0,63.12,1760000
18,2021,11,27,שרירא שמואל,8,דירה בבית קומות,3.0,3.0,63.12,2050000
19,2021,11,26,הרב סובהי,13,דירה בבית קומות,3.0,4.0,76.31,1405000
20,2021,11,25,בית הערבה,18,דירה בבית קומות,4.0,1.0,80.0,2040000
21,2021,11,25,"עגנון ש""י",15,דירה בבית קומות,3.0,2.0,42.0,2400000
22,2021,11,24,רוטשילד,46,דירה בבית קומות,4.0,2.0,95.81,1440000
23,2021,11,24,הורוביץ,10,דירה בבית קומות,4.0,3.0,84.01,1940000
24,2021,11,24,הרב ברוק,8,דירה בבית קומות,2.0,1.0,54.0,1345000
25,2021,11,24,קרן היסוד,21,דירה בבית קומות,3.0,2.0,60.34,1800000
26,2021,11,24,"רמב""ם",43,דירה בבית קומות,4.0,7.0,110.0,2370000
27,2021,11,24,פיין בנימין,1,דירה בבית קומות,3.0,1.0,60.26,1525000
28,2021,11,23,אייזנבנד,7,דירה בבית קומות,3.0,6.0,77.78,1610000
29,2021,11,23,הסמדר,4,דירה בבית קומות,4.0,2.0,110.3,2350000
30,2021,11,23,החלמונית,20,דירה בבית קומות,4.0,4.0,94.5,1700000
31,2021,11,23,הפסנתר,4,דירה בבית קומות,3.0,1.0,63.85,2055000
32,2021,11,23,נהריים,19,דירה בבית קומות,3.0,1.0,72.28,1800000
33,2021,11,23,הירקון,6,דירה בבית קומות,3.0,7.0,63.2,1625000
34,2021,11,23,התזמורת,26,דירה בבית קומות,4.0,6.0,82.0,2460000
35,2021,11,23,נהריים,19,דירה בבית קומות,2.0,2.0,40.79,1500000
36,2021,11,23,נהריים,17,דירה בבית קומות,2.0,1.0,40.79,1562000
37,2021,11,22,חנקין,16,דירה בבית קומות,3.0,3.0,47.41,1350000
38,2021,11,21,שניאור זלמן,26,דירה בבית קומות,3.0,3.0,47.4,1345000
39,2021,11,21,אחיעזר,5,דירה בבית קומות,3.0,2.0,83.94,760000
40,2021,11,21,רופין,4,דירה בבית קומות,4.0,2.0,85.35,1475000
41,2021,11,19,שרירא שמואל,8,דירה בבית קומות,3.0,1.0,63.12,1700000
42,2021,11,18,דוידזון,6,דירה בבית קומות,4.0,2.0,104.4,1800000
43,2021,11,18,בשארי סעדיה ויוסף,8,דירה בבית קומות,4.0,2.0,103.02,2700000
44,2021,11,18,סוקולוב,23,דירה בבית קומות,3.0,4.0,71.83,1680000
45,2021,11,18,תל חי,29,דירה בבית קומות,3.0,3.0,68.24,1785000
46,2021,11,18,חנקין,3,דירה בבית קומות,3.0,4.0,77.0,2040000
47,2021,11,17,שדה נחום,6,דירה בבית קומות,3.0,2.0,68.0,1800000
48,2021,11,17,שרירא שמואל,8,דירה בבית קומות,3.0,2.0,63.12,1810000
49,2021,11,17,שרירא שמואל,8,דירה בבית קומות,3.0,1.0,63.12,1770000
50,2021,11,17,שרירא שמואל,30,דירה בבית קומות,3.0,5.0,96.0,1870000
51,2021,11,17,הקוקיה,42,דירה בבית קומות,5.0,5.0,125.2,1235000
52,2021,11,17,קפלנסקי,24,דירה בבית קומות,3.0,1.0,67.5,2455000
53,2021,11,17,שניאור זלמן,5,דירה בבית קומות,4.0,3.0,76.35,1500000
54,2021,11,17,צלליכין,10,דירה בבית קומות,4.0,0.0,90.0,2330000
55,2021,11,17,הירשפלד,2,דירה בבית קומות,4.0,1.0,72.0,1950000
56,2021,11,16,האחים זיגר,6,דירה בבית קומות,3.0,1.0,50.64,1390000
57,2021,11,16,"ריב""ל",10,דירה בבית קומות,3.0,1.0,72.7,1900000
58,2021,11,16,ירושלים,45,דירה בבית קומות,4.0,4.0,71.0,1515000
59,2021,11,16,תנועות הנוער,8,דירה בבית קומות,4.0,6.0,82.15,2090000
60,2021,11,16,הגלים,10,דירה בבית קומות,4.0,2.0,92.31,2100000
61,2021,11,16,ההדרים,8,דירה בבית קומות,5.0,4.0,117.7,2800000
62,2021,11,16,מעגל השלום,13,דירה בבית קומות,4.0,5.0,89.0,2550000
63,2021,11,15,מבצע נחשון,2,דירה בבית קומות,4.0,1.0,88.3,2215000
64,2021,11,15,הצופים,1,דירה בבית קומות,4.0,8.0,80.8,2125000
65,2021,11,15,בית לחם,5,דירה בבית קומות,3.0,1.0,65.0,1700000
66,2021,11,15,השריג,11,דירה בבית קומות,5.0,5.0,113.0,2500000
67,2021,11,15,משה בן נחמן,8,דירה בבית קומות,4.0,1.0,105.0,2080000
68,2021,11,15,האחים סולימן,5,דירה בבית קומות,3.0,1.0,77.73,1760000
69,2021,11,15,ז'בוטינסקי,88,דירה בבית קומות,3.0,2.0,64.87,1400000
70,2021,11,14,דן,11,דירה בבית קומות,4.0,1.0,91.46,2200000
71,2021,11,14,שרירא שמואל,7,דירה בבית קומות,4.0,1.0,82.15,1650000
72,2021,11,14,חיל הרגלים,7,דירה בבית קומות,3.0,4.0,68.09,1590000
73,2021,11,14,קאפח,13,דירה בבית קומות,3.0,5.0,71.0,2020000
74,2021,11,14,רוטשילד,73,דירה בבית קומות,3.0,2.0,73.55,1600000
75,2021,11,14,רוטשילד,127,דירה בבית קומות,4.0,6.0,83.0,1750000
76,2021,11,12,הקוקיה,2,דירה בבית קומות,3.0,1.0,65.6,1720000
77,2021,11,12,אוסישקין,18,דירה בבית קומות,3.0,2.0,55.51,1540000
78,2021,11,11,דרובין יואל,13,דירה בבית קומות,4.0,3.0,85.43,1830000
79,2021,11,11,אברבנאל,20,דירה בבית קומות,4.0,1.0,85.8,1870000
80,2021,11,11,חיל הצנחנים,8,דירה בבית קומות,4.0,1.0,83.3,1865000
81,2021,11,11,שיבת ציון,11,דירה בבית קומות,4.0,3.0,74.32,1500000
82,2021,11,11,שינקין,15,דירה בבית קומות,3.0,1.0,79.03,1650000
83,2021,11,11,תנחום,5,דירה בבית קומות,5.0,5.0,120.95,2650000
84,2021,11,11,הרצל,93,דירה בבית קומות,2.0,11.0,37.26,1420000
85,2021,11,11,עולי הגרדום,27,דירה בבית קומות,3.0,2.0,72.98,1620000
86,2021,11,10,טיומקין,8,דירה בבית קומות,4.0,3.0,89.87,1825000
87,2021,11,10,פינס,5,דירה בבית קומות,3.0,4.0,70.08,1560000
88,2021,11,10,הצופים,2,דירה בבית קומות,4.0,3.0,93.4,2170000
89,2021,11,10,החלמונית,22,דירה בבית קומות,4.0,3.0,84.0,1720000
90,2021,11,10,אחיעזר,4,דירה בבית קומות,3.0,2.0,68.22,1470000
91,2021,11,9,מבצע נחשון,4,דירה בבית קומות,5.0,1.0,109.1,2500000
92,2021,11,9,הפרדס הראשון,35,דירה בבית קומות,4.0,3.0,108.4,2250000
93,2021,11,9,הירשפלד,27,דירה בבית קומות,3.0,2.0,62.6,1645000
94,2021,11,9,החליל,4,דירה בבית קומות,3.0,2.0,69.74,2740000
95,2021,11,9,הגדוד העברי,85,דירה בבית קומות,6.0,6.0,119.0,3160000
96,2021,11,9,פינשטיין יונה צבי,3,דירה בבית קומות,4.0,3.0,77.26,1860000
97,2021,11,9,שרירא שמואל,46,דירה בבית קומות,4.0,4.0,63.1,1750000
98,2021,11,9,ההתיישבות,6,דירה בבית קומות,5.0,1.0,132.0,2770000
99,2021,11,9,הרבי מלובביץ,7,דירה בבית קומות,4.0,2.0,85.38,2100000
100,2021,11,8,אלרואי,9,דירה בבית קומות,3.0,1.0,49.0,1415000
101,2021,11,8,חזון איש,18,דירה בבית קומות,3.0,3.0,54.0,1400000
102,2021,11,8,הרבי מלובביץ,7,דירה בבית קומות,4.0,2.0,85.38,2000000
103,2021,11,8,"יל""ג",6,דירה בבית קומות,3.0,0.0,52.47,1440000
104,2021,11,7,הרב נריה,9,דירה בבית קומות,2.0,1.0,41.36,1530000
105,2021,11,7,הירשפלד,31,דירה בבית קומות,4.0,2.0,79.74,1760000
106,2021,11,7,החלמונית,25,דירה בבית קומות,6.0,9.0,132.0,2680000
107,2021,11,7,הכובש,29,דירה בבית קומות,5.0,5.0,132.0,1860000
108,2021,11,6,יהודה לייב,18,דירה בבית קומות,2.5,3.0,64.0,1350000
109,2021,11,5,התומר,15,דירה בבית קומות,3.0,1.0,55.28,1550000
110,2021,11,4,הגיתית,10,דירה בבית קומות,4.0,1.0,85.0,2150000
111,2021,11,4,הכובש,13,דירה בבית קומות,4.0,1.0,91.0,1730000
112,2021,11,4,מבצע קדש,9,דירה בבית קומות,4.0,3.0,81.19,1840000
113,2021,11,4,בן אליעזר,32,דירה בבית קומות,5.0,5.0,116.87,2500000
114,2021,11,4,שרף חיים,4,דירה בבית קומות,4.0,2.0,103.0,2160000
115,2021,11,4,"אח""י להב",5,דירה בבית קומות,4.0,1.0,122.48,3140000
116,2021,11,4,מבצע משה,50,דירה בבית קומות,5.0,2.0,118.35,2820000
117,2021,11,4,אנילביץ,16,דירה בבית קומות,4.0,4.0,93.0,1550000
118,2021,11,4,בלקינד שמשון,26,דירה בבית קומות,5.0,6.0,115.58,2700000
119,2021,11,4,"בית""ר",4,דירה בבית קומות,2.0,2.0,46.78,1390000
120,2021,11,4,ויניק,41,דירה בבית קומות,3.0,4.0,70.0,1725000
121,2021,11,4,הרב ברוק,12,דירה בבית קומות,4.0,1.0,98.5,1782000
122,2021,11,4,"רמב""ם",25,דירה בבית קומות,5.0,2.0,102.43,2045000
123,2021,11,4,נורדאו,10,דירה בבית קומות,3.0,4.0,67.31,1550000
124,2021,11,3,חיל החימוש,4,דירה בבית קומות,4.0,3.0,85.71,2050000
125,2021,11,3,שרירא שמואל,46,דירה בבית קומות,4.0,4.0,63.1,1680000
126,2021,11,3,נירים,3,דירה בבית קומות,5.0,1.0,120.0,1350000
127,2021,11,3,הרב גורן,13,דירה בבית קומות,4.0,4.0,88.62,2580000
128,2021,11,3,נחמה,21,דירה בבית קומות,2.0,1.0,63.25,1450000
129,2021,11,3,ברון דבורה,7,דירה בבית קומות,5.0,5.0,130.0,2860000
130,2021,11,3,בלפור,19,דירה בבית קומות,3.0,4.0,81.0,812500
131,2021,11,3,ירושלים,85,דירת גג,4.0,6.0,89.0,2230000
132,2021,11,2,ש בן ציון,1,דירה בבית קומות,3.0,0.0,46.0,1600000
133,2021,11,2,ביאליק,2,דירה בבית קומות,4.0,4.0,88.61,1480000
134,2021,11,2,יהודה הלוי,20,דירה בבית קומות,4.0,3.0,97.99,1550000
135,2021,11,2,הכנסת,3,דירה בבית קומות,3.0,2.0,46.2,1440000
136,2021,11,2,הדוגית,70,דירה בבית קומות,4.0,8.0,84.0,1870000
137,2021,11,2,חיל האויר,3,דירה בבית קומות,4.0,4.0,91.95,2430000
138,2021,11,2,סנש חנה,3,דירה בבית קומות,2.0,2.0,35.2,1800000
139,2021,11,2,"אח""י להב",5,דירה בבית קומות,4.0,5.0,95.93,2786000
140,2021,11,2,קידוש השם,15,דירה בבית קומות,4.0,1.0,93.0,1670000
141,2021,11,2,המרגנית,18,דירה בבית קומות,3.0,3.0,60.9,1600000
142,2021,11,2,ז'בוטינסקי,66,דירה בבית קומות,3.0,5.0,74.42,1945000
143,2021,11,2,האחים אוסטשינסקי,19,דירה בבית קומות,2.0,3.0,50.25,1400000
144,2021,11,2,פינשטיין יונה צבי,13,דירה בבית קומות,4.0,4.0,88.22,2070000
145,2021,11,2,פינשטיין יונה צבי,9,דירה בבית קומות,4.0,3.0,78.29,1890000
146,2021,11,2,שרירא שמואל,5,דירה בבית קומות,4.0,3.0,86.07,1640000
147,2021,11,2,קרל נטר,23,דירה בבית קומות,4.0,2.0,93.72,2080000
148,2021,11,2,עין דור,2,דירה בבית קומות,4.0,1.0,96.0,2410000
149,2021,11,2,"ביל""ו",12,דירה בבית קומות,3.0,1.0,73.0,2025000
150,2021,11,1,קרית ספר,16,דירה בבית קומות,3.0,3.0,77.64,1500000
151,2021,11,1,החלמונית,36,דירה בבית קומות,4.0,7.0,109.8,2100000
152,2021,11,1,התזמורת,36,דירה בבית קומות,4.0,4.0,90.24,2470000
153,2021,11,1,רופין,4,דירה בבית קומות,4.0,4.0,85.35,1675000
154,2021,11,1,רופין,6,דירה בבית קומות,4.0,3.0,107.0,1935000
155,2021,10,31,גשר,5,דירה בבית קומות,4.0,6.0,81.9,1940000
156,2021,10,31,חיל הרגלים,25,דירה בבית קומות,3.0,1.0,68.09,1645000
157,2021,10,31,היקינטון,5,דירה בבית קומות,4.0,3.0,95.6,1930000
158,2021,10,31,"רמב""ם",43,דירה בבית קומות,4.0,3.0,81.6,1950000
159,2021,10,31,התזמורת,18,דירה בבית קומות,3.0,5.0,70.11,1725000
160,2021,10,31,חיל החימוש,38,דירה בבית קומות,4.0,3.0,99.07,2150000
161,2021,10,31,יהודה הלוי,19,דירה בבית קומות,3.0,4.0,59.82,1200000
162,2021,10,31,אלרואי,10,דירה בבית קומות,3.0,3.0,50.6,1100000
163,2021,10,31,ברד אברהם,4,דירה בבית קומות,3.0,2.0,59.0,1540000
164,2021,10,31,ההתיישבות,47,דירה בבית קומות,5.0,1.0,130.2,2650000
165,2021,10,31,הגפן,6,דירה בבית קומות,4.0,4.0,75.75,1700000
166,2021,10,31,"צ""ג בנות",27,דירה בבית קומות,3.0,3.0,81.96,1550000
167,2021,10,31,שניאור זלמן,42,דירה בבית קומות,2.0,4.0,40.0,1000000
168,2021,10,31,הירדן,10,דירה בבית קומות,4.0,3.0,88.88,1750000
169,2021,10,31,תל חי,18,דירה בבית קומות,3.0,3.0,57.76,1540000
170,2021,10,31,הירשפלד,33,דירה בבית קומות,4.0,2.0,72.69,1770000
171,2021,10,31,קרל נטר,16,דירה בבית קומות,3.0,4.0,56.7,1315000
172,2021,10,31,תל חי,29,דירה בבית קומות,3.0,3.0,71.11,1940000
173,2021,10,31,משורר השואה,10,דירה בבית קומות,5.0,3.0,82.05,1740000
174,2021,10,31,השדה,10,דירה בבית קומות,4.0,3.0,70.88,1502000
175,2021,10,31,ז'בוטינסקי,59,דירה בבית קומות,3.0,1.0,66.5,1300000
176,2021,10,31,ברון דבורה,3,דירה בבית קומות,4.0,2.0,106.0,2200000
177,2021,10,31,שיבת ציון,27,דירה בבית קומות,3.0,2.0,51.0,1360000
178,2021,10,31,השירה העברית,4,דירה בבית קומות,3.0,3.0,65.4,1790000
179,2021,10,29,פינשטיין יונה צבי,9,דירה בבית קומות,4.0,7.0,94.6,2200000
180,2021,10,29,"רש""י",6,דירה בבית קומות,4.0,3.0,101.0,1650000
181,2021,10,29,התורמוס,1,דירה בבית קומות,4.0,1.0,86.6,1820000
182,2021,10,29,ראובן ובת שבע,11,דירה בבית קומות,3.0,1.0,68.35,1580000
183,2021,10,28,"מיש""ר",2,דירה בבית קומות,5.0,3.0,126.2,3110000
184,2021,10,28,הורוביץ,1,דירה בבית קומות,3.0,1.0,71.19,1550000
185,2021,10,28,רוטשילד,107,דירה בבית קומות,5.0,1.0,103.0,2345000
186,2021,10,28,הרב צדוק,2,דירה בבית קומות,3.0,3.0,62.65,1480000
187,2021,10,28,האחים אוסטשינסקי,19,דירה בבית קומות,3.0,2.0,55.2,1510000
188,2021,10,28,קרל נטר,26,דירה בבית קומות,3.0,4.0,74.79,1810000
189,2021,10,28,בן אליעזר,9,דירה בבית קומות,6.0,4.0,201.73,3265000
190,2021,10,28,יהודה הלוי,56,דירה בבית קומות,4.0,2.0,67.41,1350000
191,2021,10,27,ראובן,5,דירה בבית קומות,3.0,3.0,52.28,1430000
192,2021,10,27,ההדרים,12,דירה בבית קומות,3.0,4.0,63.7,1480000
193,2021,10,27,תורה ועבודה,26,דירה בבית קומות,3.0,2.0,47.7,1300000
194,2021,10,27,האחים זיגר,4,דירה בבית קומות,2.0,3.0,50.64,1250000
195,2021,10,27,קפלנסקי,10,דירה בבית קומות,3.0,2.0,66.56,1500000
196,2021,10,27,תל חי,10,דירה בבית קומות,3.0,2.0,61.12,1650000
197,2021,10,27,הירמוך,13,דירה בבית קומות,4.0,6.0,97.0,1900000
198,2021,10,27,שפינוזה,23,דירה בבית קומות,4.0,1.0,71.0,1630000
199,2021,10,27,שרירא שמואל,17,דירה בבית קומות,3.0,3.0,77.2,2200000
200,2021,10,27,הברקן,5,דירה בבית קומות,7.0,1.0,212.0,3800000
201,2021,10,27,שפינוזה,6,דירה בבית קומות,4.0,4.0,89.28,2200000
202,2021,10,26,מבצע נחשון,2,דירה בבית קומות,3.0,3.0,75.6,2100000
